timestep,elapsed,hour,ti,to,tChange,ventilationLoss,transmissionLoss,heatChange,applianceGain,internalGain,co2,consumption,occupancy,heatpumpState,ventilationState
30,0,0,18,0,0,0,990,-0.99,0,0,0.00039999996224865457,0,0,off,false
30,30,0,17.9,0,-0.10000000000000142,0,990,-0.99,0,0,0.00039999996224865457,0,0,off,false
30,60,1,18.1,0,0.20000000000000284,0,984.4999999999999,2.7655,3750,0,0.00039999996224865457,750,0,heating,false
30,90,1,18.4,0,0.29999999999999716,0,995.5000000000001,2.7545,3750,0,0.00039999996224865457,750,0,heating,false
30,120,2,18.7,-1,0.3000000000000007,0,1067,2.683,3750,0,0.00039999996224865457,750,0,heating,false
30,150,2,19,-1,0.3000000000000007,0,1083.5,2.6665,3750,0,0.00039999996224865457,750,0,heating,false
30,180,3,19.4,-1,0.3999999999999986,0,1100,2.65,3750,0,0.00039999996224865457,750,0,heating,false
30,210,3,19.3,-1,-0.09999999999999787,0,1122,-1.122,0,0,0.00039999996224865457,0,0,off,false
30,240,4,19.1,-2,-0.1999999999999993,0,1171.5,-1.1715,0,0,0.00039999996224865457,0,0,off,false
30,270,4,19,-2,-0.10000000000000142,0,1160.5,-1.1605,0,0,0.00039999996224865457,0,0,off,false
30,300,5,18.8,-2,-0.1999999999999993,0,1155,-1.155,0,0,0.00039999996224865457,0,0,off,false
30,330,5,18.7,-2,-0.10000000000000142,0,1144,-1.144,0,0,0.00039999996224865457,0,0,off,false
30,360,6,18.6,-2,-0.09999999999999787,0,1138.5,-1.1385,0,0,0.00039999996224865457,0,0,off,false
30,390,6,18.4,-2,-0.20000000000000284,0,1133,-1.133,0,0,0.00039999996224865457,0,0,off,false
30,420,7,18.3,-1,-0.09999999999999787,0,1067,-1.067,0,0,0.00039999996224865457,0,0,off,false
30,450,7,18.1,-1,-0.1999999999999993,0,1061.5,-1.0615,0,0,0.00039999996224865457,0,0,off,false
30,480,8,18.1,-1,0,0,1050.5,-0.4005,0,650,0.0006777777400264323,0,10,off,false
30,510,8,18.6,-1,0.5,0,1050.5,3.3495,3750,650,0.0006777777400369187,750,10,heating,false
30,540,9,18.8,-1,0.1999999999999993,0,1078,2.867,3750,195,0.0004833332955924744,750,3,heating,false
30,570,9,19.3,-1,0.5,0,1089,2.856,3750,195,0.00048333329558513386,750,3,heating,false
30,600,10,19.5,1,0.1999999999999993,0,1006.5,2.8085,3750,65,0.0004277777400295783,750,1,heating,false
30,630,10,19.8,1,0.3000000000000007,0,1017.5,2.7975,3750,65,0.000427777740027481,750,1,heating,false
30,660,11,20.2,2,0.3999999999999986,0,979,3.746,3750,975,0.0008166666289163699,750,15,heating,false
30,690,11,20.7,2,0.5,0,1001,3.724,3750,975,0.000816666628931051,750,15,heating,false
30,720,12,21.1,3,0.40000000000000213,0,973.5,3.7515,3750,975,0.000816666628931051,750,15,heating,false
30,750,12,21.5,3,0.3999999999999986,0,995.5000000000001,3.7295,3750,975,0.000816666628931051,750,15,heating,false
30,780,13,21.8,3,0.3000000000000007,0,1017.5,2.7325,3750,0,0.0003999999622643843,750,0,heating,false
30,810,13,21.6,3,-0.1999999999999993,0,1034,-1.034,0,0,0.00039999996224865457,0,0,off,false
30,840,14,21.6,3,0,0,1023.0000000000001,-0.7630000000000001,0,260,0.0005111110733597657,0,4,off,false
30,870,14,21.5,3,-0.10000000000000142,0,1023.0000000000001,-0.7630000000000001,0,260,0.0005111110733639603,0,4,off,false
30,900,15,21.4,3,-0.10000000000000142,0,1017.5,-1.0175,0,0,0.0003999999622528492,0,0,off,false
30,930,15,21.2,3,-0.1999999999999993,0,1011.9999999999999,-1.0119999999999998,0,0,0.00039999996224865457,0,0,off,false
30,960,16,21.1,2,-0.09999999999999787,0,1056,-1.056,0,0,0.00039999996224865457,0,0,off,false
30,990,16,21.1,2,0,0,1050.5,-1.0505,0,0,0.00039999996224865457,0,0,off,false
30,1020,17,20.9,2,-0.20000000000000284,0,1050.5,-0.9855,0,65,0.00042777774002643234,0,1,off,false
30,1050,17,20.8,2,-0.09999999999999787,0,1039.5,-0.9745,0,65,0.000427777740027481,0,1,off,false
30,1080,18,20.7,1,-0.10000000000000142,0,1089,-0.959,0,130,0.0004555555178052588,0,2,off,false
30,1110,18,20.7,1,0,0,1083.5,-0.9535,0,130,0.00045555551780630745,0,2,off,false
30,1140,19,20.5,2,-0.1999999999999993,0,1028.5,-1.0285,0,0,0.00039999996225075185,0,0,off,false
30,1170,19,20.4,2,-0.10000000000000142,0,1017.5,-1.0175,0,0,0.00039999996224865457,0,0,off,false
30,1200,20,20.2,1,-0.1999999999999993,0,1067,-1.067,0,0,0.00039999996224865457,0,0,off,false
30,1230,20,20.1,1,-0.09999999999999787,0,1056,-1.056,0,0,0.00039999996224865457,0,0,off,false
30,1260,21,20.1,1,0,0,1050.5,-1.0505,0,0,0.00039999996224865457,0,0,off,false
30,1290,21,20,1,-0.10000000000000142,0,1050.5,-1.0505,0,0,0.00039999996224865457,0,0,off,false
30,1320,22,19.8,1,-0.1999999999999993,0,1045,-1.045,0,0,0.00039999996224865457,0,0,off,false
30,1350,22,19.7,1,-0.10000000000000142,0,1034,-1.034,0,0,0.00039999996224865457,0,0,off,false
30,1380,23,19.5,0,-0.1999999999999993,0,1083.5,-1.0835,0,0,0.00039999996224865457,0,0,off,false
30,1410,23,19.4,0,-0.10000000000000142,0,1072.5,-1.0725,0,0,0.00039999996224865457,0,0,off,false
